,Year,Month,State,County,Rate
282731,1990,May,California,Kern County,9.8
282732,1990,May,California,Napa County,3.1
282733,1990,May,California,Mendocino County,5.7
282734,1990,May,California,Plumas County,7.6
290886,1990,September,California,Humboldt County,6.6
290887,1990,September,California,Sonoma County,3.6
290888,1990,September,California,San Luis Obispo County,5.1
290889,1990,September,California,Glenn County,10.9
290890,1990,September,California,Nevada County,3.9
290891,1990,September,California,Yolo County,5.4
290892,1990,September,California,Sacramento County,4.4
290893,1990,September,California,Fresno County,9.0
290894,1990,September,California,Calaveras County,5.5
290895,1990,September,California,Marin County,2.8
290896,1990,September,California,Lassen County,7.3
290897,1990,September,California,Contra Costa County,4.4
290898,1990,September,California,Yuba County,8.1
290899,1990,September,California,Del Norte County,9.8
290900,1990,September,California,San Mateo County,2.9
290901,1990,September,California,Mono County,5.9
290902,1990,September,California,Merced County,9.1
290903,1990,September,California,Santa Cruz County,5.3
290904,1990,September,California,Ventura County,7.5
290905,1990,September,California,Placer County,3.9
290906,1990,September,California,Inyo County,6.9
290907,1990,September,California,Stanislaus County,8.6
290908,1990,September,California,Orange County,4.1
290909,1990,September,California,Trinity County,10.0
290910,1990,September,California,Alpine County,21.3
290911,1990,September,California,Madera County,8.8
290912,1990,September,California,Imperial County,33.7
290913,1990,September,California,Kings County,10.0
290914,1990,September,California,Mariposa County,3.7
290915,1990,September,California,San Benito County,8.2
290916,1990,September,California,Lake County,7.9
290917,1990,September,California,El Dorado County,3.9
290918,1990,September,California,Solano County,4.7
290919,1990,September,California,Los Angeles County,6.2
290920,1990,September,California,San Diego County,5.4
290921,1990,September,California,Alameda County,4.3
290922,1990,September,California,Colusa County,8.7
290923,1990,September,California,Sierra County,5.1
290924,1990,September,California,Tehama County,9.4
290925,1990,September,California,Modoc County,7.7
290926,1990,September,California,Amador County,4.2
290927,1990,September,California,San Joaquin County,7.7
290928,1990,September,California,Siskiyou County,10.1
290929,1990,September,California,Riverside County,8.7
290930,1990,September,California,San Francisco County,4.1
290931,1990,September,California,San Bernardino County,6.6
290932,1990,September,California,Santa Clara County,4.2
290933,1990,September,California,Tulare County,10.3
290934,1990,September,California,Shasta County,7.1
290935,1990,September,California,Santa Barbara County,5.0
290936,1990,September,California,Monterey County,6.9
290937,1990,September,California,Tuolumne County,5.4
290938,1990,September,California,Sutter County,10.1
290939,1990,September,California,Butte County,7.2
290940,1990,September,California,Kern County,10.0
290941,1990,September,California,Napa County,3.3
290942,1990,September,California,Mendocino County,5.8
290943,1990,September,California,Plumas County,5.4
258084,1991,September,California,Humboldt County,7.2
258085,1991,September,California,Sonoma County,5.1
258086,1991,September,California,San Luis Obispo County,5.6
258087,1991,September,California,Glenn County,12.6
258088,1991,September,California,Nevada County,5.7
258089,1991,September,California,Yolo County,6.0
258090,1991,September,California,Sacramento County,6.5
258091,1991,September,California,Fresno County,9.1
258092,1991,September,California,Calaveras County,7.1
258093,1991,September,California,Marin County,3.9
258094,1991,September,California,Lassen County,7.1
258095,1991,September,California,Contra Costa County,5.5
258096,1991,September,California,Yuba County,9.9
258097,1991,September,California,Del Norte County,9.6
258098,1991,September,California,San Mateo County,4.1
258099,1991,September,California,Mono County,9.3
258100,1991,September,California,Merced County,10.5
258101,1991,September,California,Santa Cruz County,6.6
258102,1991,September,California,Ventura County,8.8
258103,1991,September,California,Placer County,6.1
258104,1991,September,California,Inyo County,8.4
258105,1991,September,California,Stanislaus County,10.5
258106,1991,September,California,Orange County,5.5
258107,1991,September,California,Trinity County,9.1
258108,1991,September,California,Alpine County,21.2
258109,1991,September,California,Madera County,9.8
258110,1991,September,California,Imperial County,30.8
258111,1991,September,California,Kings County,9.2
258112,1991,September,California,Mariposa County,4.5
258113,1991,September,California,San Benito County,9.4
258114,1991,September,California,Lake County,8.3
258115,1991,September,California,El Dorado County,6.1
258116,1991,September,California,Solano County,5.8
258117,1991,September,California,Los Angeles County,8.4
258118,1991,September,California,San Diego County,6.4
258119,1991,September,California,Alameda County,5.7
258120,1991,September,California,Colusa County,10.2
258121,1991,September,California,Sierra County,4.7
258122,1991,September,California,Tehama County,8.8
258123,1991,September,California,Modoc County,9.2
258124,1991,September,California,Amador County,5.4
258125,1991,September,California,San Joaquin County,9.1
258126,1991,September,California,Siskiyou County,9.7
258127,1991,September,California,Riverside County,11.1
258128,1991,September,California,San Francisco County,5.8
258129,1991,September,California,San Bernardino County,8.4
258130,1991,September,California,Santa Clara County,5.8
258131,1991,September,California,Tulare County,13.5
258132,1991,September,California,Shasta County,9.1
258133,1991,September,California,Santa Barbara County,5.9
258134,1991,September,California,Monterey County,7.2
258135,1991,September,California,Tuolumne County,6.9
258136,1991,September,California,Sutter County,10.7
258137,1991,September,California,Butte County,8.1
258138,1991,September,California,Kern County,10.5
258139,1991,September,California,Napa County,5.7
258140,1991,September,California,Mendocino County,8.3
258141,1991,September,California,Plumas County,5.5
358185,1992,April,California,Humboldt County,10.3
358186,1992,April,California,Sonoma County,7.2
358187,1992,April,California,San Luis Obispo County,6.8
358188,1992,April,California,Glenn County,20.1
358189,1992,April,California,Nevada County,9.0
358190,1992,April,California,Yolo County,8.2
358191,1992,April,California,Sacramento County,8.0
358192,1992,April,California,Fresno County,15.1
358193,1992,April,California,Calaveras County,12.7
358194,1992,April,California,Marin County,4.5
358195,1992,April,California,Lassen County,12.6
358196,1992,April,California,Contra Costa County,6.1
358197,1992,April,California,Yuba County,18.1
358198,1992,April,California,Del Norte County,16.0
358199,1992,April,California,San Mateo County,4.8
358200,1992,April,California,Mono County,7.4
358201,1992,April,California,Merced County,18.2
358202,1992,April,California,Santa Cruz County,9.4
358203,1992,April,California,Ventura County,7.0
358204,1992,April,California,Placer County,8.6
358205,1992,April,California,Inyo County,11.5
358206,1992,April,California,Stanislaus County,17.4
358207,1992,April,California,Orange County,6.1
358208,1992,April,California,Trinity County,18.3
358209,1992,April,California,Alpine County,10.8
358210,1992,April,California,Madera County,17.8
358211,1992,April,California,Imperial County,28.4
358212,1992,April,California,Kings County,13.7
358213,1992,April,California,Mariposa County,9.3
358214,1992,April,California,San Benito County,18.4
358215,1992,April,California,Lake County,13.5
358216,1992,April,California,El Dorado County,8.8
358217,1992,April,California,Solano County,6.9
358218,1992,April,California,Los Angeles County,9.0
358219,1992,April,California,San Diego County,6.6
358220,1992,April,California,Alameda County,6.2
358221,1992,April,California,Colusa County,18.4
358222,1992,April,California,Sierra County,14.4
358223,1992,April,California,Tehama County,12.9
358224,1992,April,California,Modoc County,13.1
358225,1992,April,California,Amador County,9.7
358226,1992,April,California,San Joaquin County,14.1
358227,1992,April,California,Siskiyou County,15.5
358228,1992,April,California,Riverside County,10.3
358229,1992,April,California,San Francisco County,6.4
358230,1992,April,California,San Bernardino County,9.0
358231,1992,April,California,Santa Clara County,6.6
358232,1992,April,California,Tulare County,15.3
358233,1992,April,California,Shasta County,13.5
358234,1992,April,California,Santa Barbara County,6.5
358235,1992,April,California,Monterey County,11.0
358236,1992,April,California,Tuolumne County,12.0
358237,1992,April,California,Sutter County,22.6
358238,1992,April,California,Butte County,12.0
358239,1992,April,California,Kern County,14.2
358240,1992,April,California,Napa County,6.6
358241,1992,April,California,Mendocino County,13.2
358242,1992,April,California,Plumas County,16.6
344778,1992,August,California,Humboldt County,9.1
344779,1992,August,California,Sonoma County,7.1
344780,1992,August,California,San Luis Obispo County,7.4
344781,1992,August,California,Glenn County,18.4
344782,1992,August,California,Nevada County,7.9
344783,1992,August,California,Yolo County,6.6
344784,1992,August,California,Sacramento County,8.2
344785,1992,August,California,Fresno County,12.5
344786,1992,August,California,Calaveras County,10.8
344787,1992,August,California,Marin County,5.4
344788,1992,August,California,Lassen County,9.0
344789,1992,August,California,Contra Costa County,7.0
344790,1992,August,California,Yuba County,15.7
344791,1992,August,California,Del Norte County,13.7
344792,1992,August,California,San Mateo County,5.5
344793,1992,August,California,Mono County,10.6
344794,1992,August,California,Merced County,13.5
344795,1992,August,California,Santa Cruz County,8.0
344796,1992,August,California,Ventura County,10.0
344797,1992,August,California,Placer County,8.0
344798,1992,August,California,Inyo County,11.0
344799,1992,August,California,Stanislaus County,13.4
344800,1992,August,California,Orange County,7.1
344801,1992,August,California,Trinity County,12.1
344802,1992,August,California,Alpine County,26.8
344803,1992,August,California,Madera County,12.4
344804,1992,August,California,Imperial County,38.1
344805,1992,August,California,Kings County,13.2
344806,1992,August,California,Mariposa County,6.4
344807,1992,August,California,San Benito County,12.9
344808,1992,August,California,Lake County,9.7
344809,1992,August,California,El Dorado County,7.4
344810,1992,August,California,Solano County,7.5
344811,1992,August,California,Los Angeles County,10.4
344812,1992,August,California,San Diego County,7.6
344813,1992,August,California,Alameda County,6.9
344814,1992,August,California,Colusa County,12.9
344815,1992,August,California,Sierra County,6.9
344816,1992,August,California,Tehama County,12.8
344817,1992,August,California,Modoc County,10.9
344818,1992,August,California,Amador County,8.2
344819,1992,August,California,San Joaquin County,11.5
